# DIRTLPAwb+ edited interaction matrix
parasite	host	weight
Euphrasia_anglica	Holcus_lanatus	12.72
Euphrasia_anglica	Koeleria_macrantha	0.48
Euphrasia_anglica	Prunella_vulgaris	1.48
Euphrasia_anglica	Agrimonia_eupatorium	0.4
Euphrasia_anglica	Galium_album	1.04
Euphrasia_anglica	Potentilla_erecta	12.48
Euphrasia_anglica	Crepis_capillaris	0.4
Euphrasia_anglica	Leontodon_hispidus	0.88
Euphrasia_anglica	Hedera_helix	0.48
Euphrasia_anglica	Cirsium_palustris	0.72
Euphrasia_anglica	Veronica_chamaedrys	1.52
Euphrasia_anglica	Taraxacum_officinale	2.12
Euphrasia_anglica	Plantago_lanceolata	14.88
Euphrasia_anglica	Ranunculus_acris	1.84
Euphrasia_anglica	Potentilla_anserina	0.24
Euphrasia_anglica	Pteridium_aquilinum	0.48
Euphrasia_anglica	Luzula_campestris	2.72
Euphrasia_anglica	Lolium_perenne	1.32
Euphrasia_anglica	Trifolium_repens	9.08
Euphrasia_anglica	Cerastium_fontanum	0.24
Euphrasia_anglica	Festuca_rubra	13.96
Euphrasia_anglica	Fragaria_vesca	0.48
Euphrasia_anglica	Anthoxanthum_odoratum	12.2
Euphrasia_anglica	Arrhenatherum_elatius	5.88
Euphrasia_anglica	Trifolium_pratense	2.16
Euphrasia_anglica	Cynosurus_cristatus	1.92
Euphrasia_anglica	Agrostis_vinealis	1.12
Euphrasia_anglica	Jacobaea_vulgaris	0.72
Euphrasia_anglica	Rumex_acetosa	0.6
Euphrasia_anglica	Cryptogramma_crispa	0
Euphrasia_anglica	Festuca_ovina	0
Euphrasia_anglica	Hypochaeris_radicata	1.4
Euphrasia_anglica	Erica_tetralix	0
Euphrasia_anglica	Danthonia_decumbens	0
Euphrasia_anglica	Agrostis_capillaris	15
Euphrasia_anglica	Alchemilla_alpina	0
Euphrasia_anglica	Aira_caryophyllaea	0
Euphrasia_anglica	Galium_saxatile	0
Euphrasia_anglica	Pilosella_officinarum	0
Euphrasia_anglica	Digitalis_purpurea	0
Euphrasia_anglica	Calluna_vulgaris	0
Euphrasia_anglica	Serratula_tinctoria	0
Euphrasia_anglica	Daucus_carota	0
Euphrasia_anglica	Viola_riviniana	2
Euphrasia_anglica	Centaurium_erythraea	0
Euphrasia_anglica	Carex_flacca	5.04
Euphrasia_anglica	Achillea_millefolium	0
Euphrasia_anglica	Ulex_europaeus	0
Euphrasia_anglica	Lotus_corniculatus	4.96
Euphrasia_anglica	Dactylis_glomerata	7.6
Euphrasia_anglica	Solidago_virguraea	0
Euphrasia_anglica	Succisa_pratensis	0
Euphrasia_anglica	Pedicularis_sylvatica	0
Euphrasia_anglica	Plantago_maritima	0
Euphrasia_anglica	Thymus_polytrichus	0
Euphrasia_anglica	Carex_caryophyllaea	0
Euphrasia_anglica	Hypericum_pulchrum	0
Euphrasia_anglica	Polygala_vulgaris	0
Euphrasia_anglica	Erica_cinerea	0
Euphrasia_anglica	Scilla_verna	0
Euphrasia_anglica	Serrtula_tinctoria	0
Euphrasia_anglica	Leontodon_saxatilis	0
Euphrasia_micrantha	Holcus_lanatus	0
Euphrasia_micrantha	Koeleria_macrantha	0
Euphrasia_micrantha	Prunella_vulgaris	0
Euphrasia_micrantha	Agrimonia_eupatorium	0
Euphrasia_micrantha	Galium_album	0
Euphrasia_micrantha	Potentilla_erecta	0
Euphrasia_micrantha	Crepis_capillaris	0
Euphrasia_micrantha	Leontodon_hispidus	0
Euphrasia_micrantha	Hedera_helix	0
Euphrasia_micrantha	Cirsium_palustris	0
Euphrasia_micrantha	Veronica_chamaedrys	0
Euphrasia_micrantha	Taraxacum_officinale	0
Euphrasia_micrantha	Plantago_lanceolata	0
Euphrasia_micrantha	Ranunculus_acris	0
Euphrasia_micrantha	Potentilla_anserina	0
