from	to	weight
Aristotelia chilensis	Policana albopilosa	673
Alstroemeria aurea	Bombus dahlbomii	154
Berberis darwinii	Bombus dahlbomii	67
Aristotelia chilensis	Ruizantheda mutabilis	110
Rosa eglanteria	Ruizantheda mutabilis	6
Ribes magellanicum	Trichophthalma amoena	2
Alstroemeria aurea	Syrphus octomaculatus	5
Berberis darwinii	Syrphus octomaculatus	5
Rosa eglanteria	Syrphus octomaculatus	4
Alstroemeria aurea	Manuelia gayi	7
Alstroemeria aurea	Allograpta.Toxomerus	1
Rosa eglanteria	Allograpta.Toxomerus	2
Ribes magellanicum	Allograpta.Toxomerus	3
Calceolaria crenatiflora	Allograpta.Toxomerus	1
Alstroemeria aurea	Trichophthalma jaffueli	3
Alstroemeria aurea	Phthiria	8
Mutisia decurrens	Phthiria	1
Aristotelia chilensis	Platycheirus1	4
Alstroemeria aurea	Platycheirus1	1
Alstroemeria aurea	Sapromyza.Minettia	1
Cynanchum diemii	Formicidae3	8
Cynanchum diemii	Nitidulidae	1
Alstroemeria aurea	Staphilinidae	4
Rosa eglanteria	Staphilinidae	3
Aristotelia chilensis	Ichneumonidae4	1
Schinus patagonicus	Ichneumonidae4	15
Cynanchum diemii	Braconidae3	2
Calceolaria crenatiflora	Chalepogenus caeruleus	3
Alstroemeria aurea	Vespula germanica	4
Cynanchum diemii	Torymidae2	9
Alstroemeria aurea	Phthiria1	1
Alstroemeria aurea	Svastrides melanura	6
Alstroemeria aurea	Sphecidae	1
Alstroemeria aurea	Thomisidae	1
Aristotelia chilensis	Corynura prothysteres	1
Alstroemeria aurea	Corynura prothysteres	3
Alstroemeria aurea	Ichneumonidae2	4
Alstroemeria aurea	Ruizantheda proxima	4
Aristotelia chilensis	Braconidae2	1
